date,rolling_corr_24m
2009-04-24,-0.18736236529273023
2009-04-27,-0.18702012217852304
2009-04-28,-0.1869310217767618
2009-04-29,-0.18731064265286296
2009-04-30,-0.1872542435980407
2009-05-01,-0.18744763589590857
2009-05-04,-0.18798700533302903
2009-05-05,-0.18778304928148448
2009-05-06,-0.188620444731499
2009-05-07,-0.18792753966753706
2009-05-08,-0.1888264878543883
2009-05-11,-0.18804751827049493
2009-05-12,-0.18762349197425016
2009-05-13,-0.1854834405906095
2009-05-14,-0.18645298665540283
2009-05-15,-0.18647533352222778
2009-05-18,-0.18701787711321202
2009-05-19,-0.18725430112218466
2009-05-20,-0.18620204378326496
2009-05-21,-0.1850565565349015
2009-05-22,-0.18510458374920002
2009-05-25,-0.18499889029474226
2009-05-26,-0.18620173014613844
2009-05-27,-0.1860344379790107
2009-05-28,-0.18597464615121592
2009-05-29,-0.18719700137530246
2009-06-01,-0.18666445972754817
2009-06-02,-0.18701861768717448
2009-06-03,-0.18616164185900097
2009-06-04,-0.18685966386279387
2009-06-05,-0.1866575336972883
2009-06-08,-0.18593422970101123
2009-06-09,-0.1862726647448942
2009-06-10,-0.18567261324354234
2009-06-11,-0.1858653968938712
2009-06-12,-0.1859654878000978
2009-06-15,-0.18476295185456187
2009-06-16,-0.18518649972659104
2009-06-17,-0.18488739476661945
2009-06-18,-0.18518919983453083
2009-06-19,-0.18532559920888525
2009-06-22,-0.18231454828185278
2009-06-23,-0.1823565052516342
2009-06-24,-0.1828793768490387
2009-06-25,-0.18598453631682982
2009-06-26,-0.18477741336314832
2009-06-29,-0.18474984177578216
2009-06-30,-0.18361090815867165
2009-07-01,-0.18033931123610508
2009-07-02,-0.1729638981312682
2009-07-03,-0.17613845077474327
2009-07-06,-0.17484721740838274
2009-07-07,-0.17579176323793894
2009-07-08,-0.17682264458986757
2009-07-09,-0.17294757537859914
2009-07-10,-0.17554423494992924
2009-07-13,-0.18080095359746204
2009-07-14,-0.18299426164061025
2009-07-15,-0.1831029516745231
2009-07-16,-0.1824661551247237
2009-07-17,-0.1856371484740978
2009-07-20,-0.18476531094984433
2009-07-21,-0.18316288188660437
2009-07-22,-0.18511751042798952
2009-07-23,-0.19297154307286316
2009-07-24,-0.19396846521758138
2009-07-27,-0.19512910206576642
2009-07-28,-0.19622353975798
2009-07-29,-0.1960424393125198
2009-07-30,-0.19754219981575646
2009-07-31,-0.19693677381582902
2009-08-03,-0.19614533932336925
2009-08-04,-0.19768871048773903
2009-08-05,-0.19749860937999836
2009-08-06,-0.19811025351199568
2009-08-07,-0.19899426932119219
2009-08-10,-0.19973751617292504
2009-08-11,-0.19854145900982795
2009-08-12,-0.19936628060200107
2009-08-13,-0.19862905712450224
2009-08-14,-0.19802540579374475
2009-08-17,-0.19887824776678995
2009-08-18,-0.19989160697315075
2009-08-19,-0.20114949270526164
2009-08-20,-0.2021804823061383
2009-08-21,-0.20308975083097633
2009-08-24,-0.20339785971599894
2009-08-25,-0.20344563035187166
2009-08-26,-0.20317193147944698
2009-08-27,-0.2030588991504014
2009-08-28,-0.20275322119528422
2009-08-31,-0.20202634335290282
2009-09-01,-0.20187130635936512
2009-09-02,-0.20154399002263643
2009-09-03,-0.20186279207919375
2009-09-04,-0.2025138615428504
2009-09-07,-0.20243412519519063
2009-09-08,-0.2028065808515867
2009-09-09,-0.20320027836653223
2009-09-10,-0.20305781449673335
2009-09-11,-0.20341886013291335
2009-09-14,-0.20294914309642872
2009-09-15,-0.20349050933945514
2009-09-16,-0.20384786642412217
2009-09-17,-0.20350502727354552
2009-09-18,-0.20401135251258454
2009-09-21,-0.20444399090182197
2009-09-22,-0.204579170101885
2009-09-23,-0.20460080013057466
2009-09-24,-0.2045422094753719
2009-09-25,-0.2048992285960968
2009-09-28,-0.20373285991894938
2009-09-29,-0.20381030705522002
2009-09-30,-0.2039607278780363
2009-10-01,-0.20654508380619033
2009-10-02,-0.2065903585550452
2009-10-05,-0.2047568581352847
2009-10-06,-0.20307304254534067
2009-10-07,-0.20195134096636885
2009-10-08,-0.2016737399721398
2009-10-09,-0.2014688258429504
2009-10-12,-0.20130221834267384
