column_name,display_name,description,source,series_id,unit,direction_convention,seasonal_adj,effective_start,refresh_freq,known_quirks
cass_freight_idx,Cass Freight Shipments Index,"FRED FRGSHPUSM649NCIS: Cass Freight Index — Shipments. Monthly index (Jan 1990 = 1.00), NOT seasonally adjusted. Volume of freight shipments across the Cass client base; a read on the U.S. goods economy.",FRED,FRGSHPUSM649NCIS,index,higher_is_better,NSA,1990-01-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
unrate,Unemployment Rate (%),"FRED UNRATE: civilian unemployment rate, monthly, SA. Control series.",FRED,UNRATE,pct,lower_is_better,N/A,1993-01-31,monthly,
dgs10,US 10Y Treasury Yield (%),"FRED DGS10: 10-year constant-maturity Treasury yield, month-end value. Control.",FRED,DGS10,percent,neutral,N/A,1993-01-31,daily,
fed_funds,Fed Funds Rate (%),"FRED DFF: effective federal funds rate, month-end value. Control.",FRED,DFF,pct,neutral,N/A,1993-01-31,daily,
vix,VIX Index Level,"CBOE VIX index, month-end close (Yahoo ^VIX). Control / regime variable.",Yahoo Finance,^VIX,index,lower_is_better,N/A,1993-01-31,daily,
spy,SPY Close ($),"SPY adjusted close, month-end (Yahoo, auto-adjusted). Target asset.",Yahoo Finance,SPY,price,neutral,N/A,1993-01-31,daily,
cass_freight_pct_yoy,Cass Freight YoY (%),12-month percent change in cass_freight_idx. Seasonality-robust cycle signal (preferred over MoM given the NSA source). Effective start = 2017-01.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1991-01-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_pct_mom,Cass Freight MoM (%),1-month percent change in cass_freight_idx. NSA source => seasonally biased; prefer YoY-family for cycle inference.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1990-02-28,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_3m_pct,Cass Freight 3M Change (%),3-month percent change (momentum) in cass_freight_idx. NSA => seasonally biased.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1990-04-30,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_6m_pct,Cass Freight 6M Change (%),6-month percent change (momentum) in cass_freight_idx. NSA => partially seasonal.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1990-07-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_ma12_idx,Cass Freight 12M MA,12-month rolling mean of cass_freight_idx (min 10 obs). A 12M MA also nets out the NSA seasonal pattern.,FRED,FRGSHPUSM649NCIS,index,higher_is_better,NSA,1990-10-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_dev_trend_pct,Cass Freight Deviation from 12M Trend (%),Percent deviation of cass_freight_idx from its 12-month moving average.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1990-10-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_zscore_60m,Cass Freight 60M Z-Score,Rolling 60-month z-score of the LEVEL (min 36 obs). Effective start ~2018-12; short history limits the rolling window. NSA level => seasonal noise present.,FRED,FRGSHPUSM649NCIS,none,higher_is_better,NSA,1992-12-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_yoy_zscore_60m,Cass Freight Growth 60M Z-Score,Rolling 60-month z-score of cass_freight_pct_yoy (min 36 obs). Effective start ~2019-12; short history limits the rolling window.,FRED,FRGSHPUSM649NCIS,none,higher_is_better,NSA,1993-12-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
cass_freight_accel_pct,Cass Freight Acceleration (pp),First difference of cass_freight_pct_mom (percentage points). NSA => noisy.,FRED,FRGSHPUSM649NCIS,pct,higher_is_better,NSA,1990-03-31,monthly,"FRED FRGSHPUSM649NCIS; index Jan 1990 = 1.00; NOT seasonally adjusted (NSA) — YoY transforms remove seasonality, MoM/short-horizon are seasonally biased; FRED history starts 2016-01 (~10yr, short); Cass publishes ~mid-month for prior month (L1 real-time floor); volumes stamped to Cass processing month; COVID Apr-May 2020 collapse and 2022-2024 freight recession are the key episodes"
