column_name,display_name,description,source,series_id,unit,direction_convention,seasonal_adj,effective_start,refresh_freq,known_quirks
busloans_usd,C&I Loans Outstanding ($bn),"FRED BUSLOANS: Commercial & Industrial loans, all commercial banks. Monthly average of weekly H.8 data, billions of USD, seasonally adjusted. Level series, strongly trending.",FRED,BUSLOANS,usd,neutral,SA,1947-01-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
unrate,Unemployment Rate (%),"FRED UNRATE: civilian unemployment rate, monthly, SA. Control series.",FRED,UNRATE,pct,lower_is_better,N/A,1948-01-31,monthly,
dgs10,US 10Y Treasury Yield (%),"FRED DGS10: 10-year constant-maturity Treasury yield, month-end value. Control.",FRED,DGS10,percent,neutral,N/A,1962-01-31,daily,
fed_funds,Fed Funds Rate (%),"FRED DFF: effective federal funds rate, month-end value. Control.",FRED,DFF,pct,neutral,N/A,1954-07-31,daily,
vix,VIX Index Level,"CBOE VIX index, month-end close (Yahoo ^VIX). Control / regime variable.",Yahoo Finance,^VIX,index,lower_is_better,N/A,1990-01-31,daily,
spy,SPY Close ($),"SPY adjusted close, month-end (Yahoo, auto-adjusted). Target asset. Starts 1993-01; NaN before inception.",Yahoo Finance,SPY,price,neutral,N/A,1993-01-31,daily,
busloans_pct_yoy,C&I Loans YoY (%),12-month percent change in busloans_usd. Effective start = series start + 12m.,FRED,BUSLOANS,pct,neutral,SA,1948-01-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_pct_mom,C&I Loans MoM (%),1-month percent change in busloans_usd.,FRED,BUSLOANS,pct,neutral,SA,1947-02-28,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_3m_pct,C&I Loans 3M Change (%),3-month percent change (momentum) in busloans_usd.,FRED,BUSLOANS,pct,neutral,SA,1947-04-30,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_6m_pct,C&I Loans 6M Change (%),6-month percent change (momentum) in busloans_usd.,FRED,BUSLOANS,pct,neutral,SA,1947-07-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_ma12_usd,C&I Loans 12M MA ($bn),12-month rolling mean of busloans_usd (min 10 obs).,FRED,BUSLOANS,usd,neutral,SA,1947-10-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_dev_trend_pct,C&I Loans Deviation from 12M Trend (%),Percent deviation of busloans_usd from its 12-month moving average.,FRED,BUSLOANS,pct,neutral,SA,1947-10-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_zscore_60m,C&I Loans 60M Z-Score,Rolling 60-month z-score of the LEVEL (min 36 obs). Trending level means this is persistently positive; prefer YoY z-score for cycle signal.,FRED,BUSLOANS,none,neutral,N/A,1949-12-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_yoy_zscore_60m,C&I Loan Growth 60M Z-Score,Rolling 60-month z-score of busloans_pct_yoy (min 36 obs). Cycle-relevant standardization of loan growth.,FRED,BUSLOANS,none,neutral,N/A,1950-12-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_accel_pct,C&I Loan Growth Acceleration (pp),First difference of busloans_pct_mom (percentage points).,FRED,BUSLOANS,pct,neutral,SA,1947-03-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
busloans_contraction,C&I Loan Contraction Flag,"1.0 when busloans_pct_yoy < 0, else 0.0. Note: contractions occur AFTER recessions (lagging) — e.g. 2009-2010, 2021.",FRED,BUSLOANS,none,lower_is_better,N/A,1947-01-31,monthly,H.8-derived; monthly value = average of weekly Wednesday levels; published ~2-3 weeks after month-end; March-Apr 2020 credit-line drawdown spike (+25-30% YoY); definitional breaks in H.8 panel over decades
spy_ret,SPY Daily Return (decimal),SPY 1-month simple return (decimal).,Yahoo Finance,derived,decimal_return,neutral,N/A,1993-02-28,daily,
spy_fwd_1m,SPY Forward 1M Return,Forward 1-month SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,1993-01-31,daily,
spy_fwd_3m,SPY Forward 3M Return,Forward 3-month SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,1993-01-31,daily,
spy_fwd_6m,SPY Forward 6M Return,Forward 6-month SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,1993-01-31,daily,
spy_fwd_12m,SPY Forward 12M Return,Forward 12-month SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,1993-01-31,daily,
