,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
umcsent,325.0,82.83507692307693,14.399485600709916,50.0,71.8,84.5,93.8,112.0,-0.2409990779111319,-0.7931924587592771
unrate,325.0,5.584,1.923471655594785,3.4,4.2,5.0,6.2,14.8,1.364188359485452,1.7949896513150208
spy,325.0,192.24505466167744,152.61456030539802,53.159446716308594,83.02091217041016,109.85368347167969,254.4678497314453,685.138916015625,1.4073619856265862,1.0877312481951824
vix,325.0,20.04280000246488,7.7209898861043635,9.510000228881836,14.279999732971191,18.139999389648438,24.110000610351562,59.88999938964844,1.6873880366433605,4.383567328248723
dgs10,325.0,3.3939692307692306,1.3525779908280908,0.55,2.27,3.48,4.39,6.68,0.05921850933015022,-0.7722287934751737
xlv,325.0,54.95829655573918,41.85749888597707,15.873863220214844,21.181791305541992,30.30536460876465,80.68498992919922,156.33880615234375,0.9202529920241483,-0.5611450980831387
umcsent_yoy,313.0,-1.27263108752019,14.08111150353942,-41.52046783625731,-9.756097560975618,-0.20682523267838704,6.52866242038217,38.834951456310684,-0.08634879207498353,0.10551782995324999
umcsent_mom,324.0,-0.044026734825705224,5.527293803047485,-19.41638608305275,-2.9521976824135043,-0.21910247180225162,3.1549838979205544,16.283524904214563,-0.12852489550752652,0.7682217105085889
umcsent_zscore,302.0,-0.16980227931209188,1.303226716677803,-4.769821548031158,-1.2203300503763466,0.0448300904151357,0.8971606068502174,3.0520720975613465,-0.33509822147343926,-0.31606446636297036
umcsent_3m_ma,324.0,82.93117283950617,14.034385709603388,52.5,71.80000000000001,84.23333333333333,93.86666666666667,110.13333333333333,-0.21917887563605626,-0.8470415735107624
umcsent_direction,324.0,-0.021604938271604937,0.9966643522566309,-1.0,-1.0,-1.0,1.0,1.0,0.04341982891508617,-2.0010635206577865
umcsent_dev_ma,324.0,-0.15061728395061758,3.201141914895574,-15.5,-2.0,-0.11666666666666003,1.9000000000000004,9.066666666666663,-0.4144807873644424,1.5899157946435625
xlv_ret,324.0,0.00760360558260299,0.040925494470266895,-0.14479229670660076,-0.019364877282220944,0.010633404473456842,0.03255138592255974,0.12587468693356074,-0.2886104196053869,0.531427285754527
xlv_ret_3m,322.0,0.02228377745810121,0.06694918819404554,-0.23234021154611995,-0.0170685225786453,0.0283405554897751,0.07199509220221056,0.15884018242176534,-0.5071692873228002,0.3584278825291003
xlv_ret_12m,313.0,0.08814051985867916,0.12751522594488826,-0.3047734240422617,0.005611653230576774,0.08504853734750895,0.17117662728008587,0.41409277457896554,-0.05082555555997922,0.1722869060696408
xlv_vol_12m,315.0,0.13772088671928504,0.04087224135074837,0.06505871815027775,0.10931723970585738,0.12813574137198797,0.16633876219082377,0.24694667233369022,0.6268545755329991,-0.11766087266990333
xlv_fwd_1m,324.0,0.00760360558260299,0.040925494470266895,-0.14479229670660076,-0.019364877282220944,0.010633404473456842,0.03255138592255974,0.12587468693356074,-0.2886104196053869,0.5314272857545266
xlv_fwd_3m,322.0,0.02228377745810121,0.06694918819404554,-0.23234021154611995,-0.0170685225786453,0.0283405554897751,0.07199509220221056,0.15884018242176534,-0.5071692873228002,0.3584278825291003
xlv_fwd_6m,319.0,0.04295916792800774,0.08838230022025881,-0.28778897425155825,-0.014588518641584391,0.043023038472190134,0.10643015742426565,0.2619441618095384,-0.25237330728139723,0.18308195759729218
xlv_fwd_12m,313.0,0.08814051985867916,0.12751522594488826,-0.3047734240422617,0.005611653230576774,0.08504853734750895,0.17117662728008587,0.41409277457896554,-0.05082555555997922,0.1722869060696408
spy_ret,324.0,0.0077339385938122555,0.043464755071914905,-0.16518651763801695,-0.01677487265774316,0.012795999766617716,0.03532442375452166,0.1269831926603613,-0.48461040924196486,0.7677724107254664
spy_fwd_1m,324.0,0.0077339385938122555,0.043464755071914905,-0.16518651763801695,-0.01677487265774316,0.012795999766617716,0.03532442375452166,0.1269831926603613,-0.48461040924196486,0.7677724107254664
