,count,mean,std,min,25%,50%,75%,max
busloans_usd,952.0,760.3127,821.3832,11.2894,78.282,516.2294,1121.7954,3035.7977
unrate,940.0,5.6594,1.7043,2.5,4.3,5.5,6.7,14.8
dgs10,773.0,5.8092,2.9495,0.55,3.89,5.43,7.53,15.84
fed_funds,863.0,4.68,3.667,0.04,1.91,4.31,6.225,22.0
vix,437.0,19.4876,7.3781,9.51,13.84,17.47,23.38,59.89
spy,401.0,171.6505,160.6448,24.1754,70.3287,96.1754,232.5432,756.48
busloans_pct_yoy,940.0,7.4502,8.6071,-20.1688,2.5052,8.1533,12.6363,39.0263
busloans_pct_mom,951.0,0.5899,1.0766,-3.665,0.0488,0.5848,1.0985,13.9059
busloans_3m_pct,949.0,1.7924,2.7835,-7.2717,0.322,1.8578,3.1155,29.1498
busloans_6m_pct,946.0,3.632,4.8564,-13.1272,0.9319,3.9591,6.1819,28.154
busloans_ma12_usd,944.0,753.5083,810.8991,12.4206,79.1028,519.2673,1085.5802,2778.6172
busloans_dev_trend_pct,943.0,3.2207,4.0456,-10.6827,0.9584,3.5211,5.5658,22.4897
busloans_zscore_60m,917.0,1.3703,0.9703,-1.9037,1.0331,1.6324,1.8985,4.0835
busloans_yoy_zscore_60m,905.0,-0.1278,1.2859,-3.8149,-0.9525,-0.1018,0.7373,4.3877
busloans_accel_pct,950.0,-0.0005,0.8798,-9.9723,-0.3389,-0.0043,0.352,9.2304
busloans_contraction,953.0,0.1899,0.3924,0.0,0.0,0.0,0.0,1.0
spy_ret,400.0,0.0096,0.0427,-0.1652,-0.0153,0.0136,0.0369,0.127
spy_fwd_1m,400.0,0.0096,0.0427,-0.1652,-0.0153,0.0136,0.0369,0.127
spy_fwd_3m,398.0,0.0283,0.0727,-0.2964,-0.0088,0.0356,0.0723,0.2605
spy_fwd_6m,395.0,0.0579,0.107,-0.418,0.0075,0.0632,0.1239,0.4037
spy_fwd_12m,389.0,0.1201,0.1659,-0.4342,0.0454,0.1434,0.2183,0.5623
