,count,mean,std,min,25%,50%,75%,max
cass_freight_idx,439.0,1.0835,0.1061,0.851,1.011,1.08,1.1565,1.347
unrate,402.0,5.5654,1.769,3.4,4.3,5.1,6.1,14.8
dgs10,403.0,3.9175,1.666,0.55,2.495,3.99,5.07,7.91
fed_funds,403.0,2.6959,2.2633,0.04,0.2,2.37,5.015,7.07
vix,403.0,19.5594,7.5484,9.51,13.765,17.52,23.53,59.89
spy,403.0,174.0532,164.8395,24.1133,70.7141,96.495,233.711,754.5361
cass_freight_pct_yoy,427.0,0.3872,8.4513,-25.0213,-4.4491,-0.2643,4.6554,35.2878
cass_freight_pct_mom,438.0,0.0749,3.976,-15.0874,-2.3557,0.0,2.335,13.4913
cass_freight_3m_pct,436.0,0.1895,6.028,-19.8648,-3.1097,0.0839,3.7449,21.2152
cass_freight_6m_pct,433.0,0.2953,7.3434,-22.6415,-4.1159,0.1671,4.9632,27.844
cass_freight_ma12_idx,430.0,1.0855,0.0949,0.902,1.0255,1.0881,1.138,1.29
cass_freight_dev_trend_pct,430.0,0.0605,5.2452,-21.0026,-3.0146,0.2402,3.239,15.0585
cass_freight_zscore_60m,404.0,0.1802,1.2394,-3.7693,-0.5816,0.3111,1.0239,3.5161
cass_freight_yoy_zscore_60m,392.0,-0.0215,1.1566,-3.5082,-0.7809,-0.1477,0.6577,3.5182
cass_freight_accel_pct,437.0,-0.0057,6.0188,-20.8809,-3.6955,0.0528,3.3998,26.6602
cass_freight_contraction,439.0,0.492,0.5005,0.0,0.0,0.0,1.0,1.0
spy_ret,402.0,0.0095,0.0426,-0.1652,-0.0151,0.0135,0.0367,0.127
spy_fwd_1m,402.0,0.0095,0.0426,-0.1652,-0.0151,0.0135,0.0367,0.127
spy_fwd_3m,400.0,0.0287,0.0728,-0.2964,-0.0085,0.0356,0.0723,0.2605
spy_fwd_6m,397.0,0.058,0.1068,-0.418,0.0075,0.0633,0.1238,0.4037
spy_fwd_12m,391.0,0.1206,0.1656,-0.4342,0.0461,0.1436,0.2191,0.5623
