date,rolling_corr_24m
2001-11-30,-0.011344562085246297
2001-12-31,-0.09866449172089622
2002-01-31,-0.07950090747595523
2002-02-28,0.003920259607610386
2002-03-31,-0.0050619683019806575
2002-04-30,4.6370965052828365e-05
2002-05-31,0.03869260623244721
2002-06-30,-0.0053817773495070925
2002-07-31,-0.0020682030225765984
2002-08-31,-0.03101805360928996
2002-09-30,-0.0703091610882744
2002-10-31,-0.057970052473573286
2002-11-30,0.024658125164886777
2002-12-31,0.003699105570925053
2003-01-31,0.047700874862031915
2003-02-28,0.04037820412316675
2003-03-31,-0.027913591409534703
2003-04-30,0.04412086615258196
2003-05-31,0.08389693909201537
2003-06-30,0.09218040928525398
2003-07-31,0.06079375325599139
2003-08-31,-0.010264920627494824
2003-09-30,-0.3728570803665123
2003-10-31,-0.4010565831583696
2003-11-30,-0.11289100534538617
2003-12-31,-0.014664179507392702
2004-01-31,0.055586439087392574
2004-02-29,0.06461642371786537
2004-03-31,-0.07321745771787738
2004-04-30,-0.04505768671579777
2004-05-31,-0.046078728658059814
2004-06-30,-0.07667531493107971
2004-07-31,-0.1303361432243818
2004-08-31,-0.12037981761249182
2004-09-30,-0.12485685430449632
2004-10-31,-0.08563604544508911
2004-11-30,-0.08478631405704815
2004-12-31,-0.10854646824593837
2005-01-31,-0.06757167107634372
2005-02-28,-0.15227790476997125
2005-03-31,-0.047486918823932606
2005-04-30,-0.04849970840132569
2005-05-31,-0.034327565668415515
2005-06-30,0.027191541226319626
2005-07-31,0.004069634580643944
2005-08-31,0.002223541434701902
2005-09-30,0.04286569213887185
2005-10-31,0.14749036954680259
2005-11-30,0.10995994582547931
2005-12-31,0.042469151326466247
2006-01-31,-0.06117715732830298
2006-02-28,-0.10239670570059536
2006-03-31,0.13556795247419345
2006-04-30,0.041340346583238013
2006-05-31,0.07140603867096958
2006-06-30,0.08447073050902157
2006-07-31,0.13730341485705502
2006-08-31,0.09397713125233972
2006-09-30,0.2024930167268658
2006-10-31,0.16839614799156286
2006-11-30,0.1245796844904966
2006-12-31,0.058665600721059995
2007-01-31,0.07212453662380189
2007-02-28,0.006807042728407455
2007-03-31,0.003885647734799221
2007-04-30,0.050452170835632686
2007-05-31,0.0704821955831626
2007-06-30,0.056150109589719055
2007-07-31,-0.01785966460533974
2007-08-31,-0.01587788696791953
2007-09-30,-0.05190914010901714
2007-10-31,-0.19506220541159613
2007-11-30,-0.19289952641442026
2007-12-31,-0.07257563562770913
2008-01-31,0.054960283334933566
2008-02-29,0.1290752295979984
2008-03-31,0.21069496507996813
2008-04-30,0.18928854461310637
2008-05-31,0.12406467644154234
2008-06-30,0.2183571020058324
2008-07-31,0.1451768419975094
2008-08-31,0.11813286105014097
2008-09-30,0.12844229292162554
2008-10-31,0.23923715530690515
2008-11-30,0.28523196453419497
2008-12-31,0.2166146238202401
2009-01-31,0.17704042451935906
