entry_date,exit_date,direction,holding_days,trade_return_pct
1993-12-07,1993-12-08,Long,1,0.0
1993-12-08,1993-12-09,Long,1,-0.26
1993-12-09,1993-12-10,Long,1,-0.14
1993-12-10,1993-12-13,Long,3,0.46
1993-12-13,1993-12-14,Long,1,-0.53
1993-12-14,1993-12-15,Long,1,-0.1
1993-12-15,1993-12-16,Long,1,0.24
1993-12-16,1993-12-20,Long,4,0.53
1993-12-20,1993-12-21,Long,1,-0.29
1993-12-21,1993-12-22,Long,1,0.64
1993-12-22,1993-12-23,Long,1,-0.06
1993-12-23,1993-12-28,Long,5,0.64
1993-12-28,1993-12-29,Long,1,-0.12
1993-12-29,1993-12-30,Long,1,-0.35
1993-12-30,1993-12-31,Long,1,-0.33
1993-12-31,1994-01-03,Long,3,-0.16
1994-01-03,1994-01-05,Long,2,0.4
1994-01-05,1994-01-06,Long,1,0.0
1994-01-06,1994-01-07,Long,1,0.43
1994-01-07,1994-01-10,Long,3,0.82
1994-01-10,1994-01-11,Long,1,-0.13
1994-01-11,1994-01-12,Long,1,-0.26
1994-01-12,1994-01-13,Long,1,-0.2
1994-01-13,1994-01-14,Long,1,0.29
1994-01-14,1994-01-17,Long,3,0.0
1994-01-17,1994-01-18,Long,1,0.08
1994-01-18,1994-01-19,Long,1,-0.12
1994-01-19,1994-01-20,Long,1,0.08
1994-01-20,1994-01-21,Long,1,-0.08
1994-01-21,1994-01-25,Long,4,-0.2
1994-01-25,1994-01-27,Long,2,0.52
1994-01-27,1994-01-28,Long,1,0.11
1994-01-28,1994-01-31,Long,3,0.51
1994-01-31,1994-02-01,Long,1,-0.4
1994-02-01,1994-02-02,Long,1,0.51
1994-02-02,1994-02-03,Long,1,-0.41
1994-02-03,1994-02-04,Long,1,-1.65
1994-02-04,1994-02-07,Long,3,0.36
1994-02-07,1994-02-08,Long,1,0.06
1994-02-08,1994-02-09,Long,1,0.27
1994-02-09,1994-02-10,Long,1,-0.43
1994-02-10,1994-02-11,Long,1,0.18
